DataScope,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624
CH1:,0,0,0,0,0,0,0,0,0,0,0,0,0,98.125,124.038459777832,124.519226074219,124.903846740723,125.528846740723,125.913467407227,126.057693481445,125.625,125.865386962891,125.432693481445,124.663459777832,124.326919555664,123.509613037109,122.596153259277,121.826919555664,120.769226074219,118.653846740723,117.644226074219,116.538467407227,115.625,114.951919555664,114.615379333496,114.086532592773,113.798080444336,113.653854370117,113.846160888672,113.942314147949,114.423072814941,114.807685852051,115.480766296387,116.490386962891,117.451919555664,118.317306518555,119.711540222168,120.769226074219,121.490386962891,123.028854370117,123.653839111328,124.759613037109,125.721153259277,126.346160888672,126.586532592773,127.211532592773,127.307685852051,127.259613037109,126.971145629883,126.634613037109,126.105773925781,125,124.038459777832,123.509613037109,122.211540222168,121.346153259277,119.903854370117,119.038459777832,117.980766296387,116.730773925781,115.865386962891,115.432693481445,114.663459777832,114.423072814941,113.894233703613,113.701927185059,114.134613037109,114.278839111328,114.855766296387,115.625,116.298080444336,117.067314147949,118.557693481445,119.182693481445,121.442306518555,122.211540222168,123.221160888672,123.749992370605,125.384613037109,125.913467407227,125.817314147949,125.432693481445,125.625,125.432693481445,124.663459777832,124.182685852051,123.509613037109,122.211540222168,121.826919555664,120.480766296387,120.096160888672,119.230773925781,118.413459777832,117.788459777832,117.355766296387,116.538467407227,116.153846740723,115.865386962891,115.721153259277,115.865386962891,116.201927185059,116.394233703613,116.971160888672,117.403839111328,117.884613037109,118.798080444336,119.375,120.000007629395,120.769226074219,121.105766296387,122.115386962891,122.355773925781,123.125007629395,123.028854370117,123.605766296387,123.605766296387,123.749992370605,123.749992370605,123.173080444336,123.221160888672,122.355773925781,121.346153259277,120.384613037109,119.855773925781,119.278846740723,118.461540222168,118.317306518555,117.788459777832,117.692306518555,117.163467407227,117.211532592773,117.355766296387,117.499992370605,117.692306518555,117.740379333496,118.653846740723,119.086540222168,119.182693481445,120.096160888672,120.817306518555,121.490386962891,121.730766296387,122.451927185059,122.740386962891,123.365386962891,123.365386962891,123.894226074219,123.701919555664,123.749992370605,123.798072814941,123.605766296387,123.269233703613,122.788467407227,122.115386962891,121.586540222168,120.817306518555,120.096160888672,119.038459777832,118.605766296387,117.884613037109,117.211532592773,116.586540222168,116.586540222168,116.394233703613,115.913459777832,116.009613037109,115.961540222168,116.490386962891,117.163467407227,117.548072814941,118.413459777832,118.75,119.903854370117,120.865379333496,121.826919555664,122.307693481445,123.365386962891,123.701919555664,124.471153259277,125.240386962891,125.528846740723,125.817314147949,125.769233703613,125.384613037109,125.480773925781,125.336540222168,124.519226074219,124.038459777832,123.365386962891,122.596153259277,121.586540222168,120.528839111328,119.326927185059,118.894233703613,117.644226074219,116.538467407227,115.769233703613,115.528846740723,115.048072814941,114.519226074219,114.471145629883,114.278839111328,114.471145629883,114.711532592773,115.336540222168,115.961540222168,116.394233703613,117.115386962891,118.461540222168,119.182693481445,120.096160888672,121.442306518555,122.067306518555,123.413467407227,123.990379333496,125.048080444336,125.769233703613,126.201927185059,126.586532592773,126.730766296387,126.682685852051,126.394233703613,126.201927185059,125.576927185059,125,124.086532592773,123.173080444336,121.971153259277,121.153846740723,120.336532592773,119.375,118.269226074219,117.355766296387,116.346153259277,115.673080444336,115.384613037109,115.048072814941,114.519226074219,114.423072814941,114.615379333496,115.144226074219,115.673080444336,116.057693481445,117.211532592773,118.076919555664,118.990386962891,119.567314147949,120.817306518555,121.730766296387,122.788467407227,123.365386962891,124.038459777832,124.471153259277,125.288459777832,125.432693481445,125.336540222168,125.673080444336,125.528846740723,125.336540222168,125,124.230766296387,123.413467407227,122.980773925781,122.259613037109,121.298072814941,120.384613037109,119.663467407227,118.701919555664,117.740379333496,117.499992370605,116.923080444336,116.442314147949,115.865386962891,115.673080444336,116.153846740723,116.201927185059,116.105773925781,116.490386962891,117.163467407227,117.451919555664,118.509613037109,118.990386962891,119.519233703613,120.576919555664,121.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3653869628906,123.798072814941,124.711540222168,125.144233703613,125.144233703613,125.817314147949,126.201927185059,126.153854370117,125.961540222168,125.528846740723,124.951919555664,124.182685852051,123.701919555664,122.307693481445,121.875,120.432685852051,120.096160888672,117.788459777832,116.586540222168,115.913459777832,115.192306518555,114.230766296387,113.846160888672,113.509620666504,113.461540222168,113.413467407227,113.750007629395,114.086532592773,114.951919555664,116.201927185059,117.115386962891,118.557693481445,120.432685852051,122.548080444336,123.749992370605,124.807693481445,125.240386962891,126.201927185059,126.682685852051,126.730766296387,127.259613037109,126.874992370605,126.490386962891,125.721153259277,125.192306518555,124.663459777832,122.451927185059,121.009613037109,120.432685852051,119.134613037109,117.836532592773,117.163467407227,116.394233703613,115.240386962891,114.759613037109,114.423072814941,113.942314147949,113.942314147949,113.798080444336,114.182685852051,114.278839111328,114.903846740723,116.826927185059,117.499992370605,118.557693481445,119.182693481445,120.528839111328,121.538459777832,122.596153259277,123.413467407227,124.134613037109,125.480773925781,125.576927185059,125.673080444336,125.769233703613,125.865386962891,125.817314147949,125.384613037109,124.855766296387,124.134613037109,123.509613037109,122.548080444336,121.682693481445,120.817306518555,120.288467407227,119.230773925781,118.605766296387,117.836532592773,117.163467407227,116.538467407227,116.346153259277,116.009613037109,115.961540222168,116.009613037109,115.913459777832,116.201927185059,117.163467407227,117.499992370605,118.173072814941,118.557693481445,119.519233703613,120.240386962891,120.432685852051,121.442306518555,121.875,122.5,122.836540222168,123.269233703613,123.942306518555,123.894226074219,123.605766296387,123.509613037109,122.836540222168,122.836540222168,122.019233703613,121.826919555664,120.961532592773,120.192314147949,119.567314147949,118.894233703613,118.365386962891,118.076919555664,117.980766296387,117.548072814941,117.451919555664,117.211532592773,117.692306518555,117.740379333496,118.076919555664,118.221153259277,119.086540222168,119.615386962891,120.096160888672,120.721145629883,121.105766296387,122.019233703613,122.259613037109,123.028854370117,122.932693481445,123.653839111328,123.557685852051,124.038459777832,123.365386962891,123.461532592773,122.548080444336,121.778846740723,121.346153259277,120.384613037109,119.951927185059,119.471153259277,118.413459777832,118.221153259277,117.307685852051,116.923080444336,116.105773925781,115.913459777832,116.201927185059,115.913459777832,115.913459777832,116.394233703613,116.682693481445,116.923080444336,117.788459777832,118.365386962891,119.230773925781,120.096160888672,120.624992370605,121.394226074219,122.932693481445,124.134613037109,124.663459777832,124.759613037109,125.288459777832,125.865386962891,125.673080444336,125.865386962891,125.528846740723,125.144233703613,124.471153259277,122.980773925781,122.403846740723,121.201919555664,120.721145629883,119.519233703613,118.365386962891,117.692306518555,116.826927185059,116.153846740723,115.144226074219,114.711532592773,114.423072814941,114.182685852051,114.519226074219,114.423072814941,115.096153259277,115.192306518555,115.817306518555,116.778854370117,117.403839111328,118.509613037109,119.471153259277,120.288467407227,121.201919555664,122.548080444336,123.173080444336,124.278846740723,125.096153259277,125.576927185059,125.769233703613,126.442314147949,126.538467407227,126.298080444336,126.201927185059,125.961540222168,125.673080444336,124.855766296387,124.230766296387,123.413467407227,122.451927185059,120.432685852051,119.038459777832,118.557693481445,117.355766296387,115.240386962891,114.759613037109,114.759613037109,114.663459777832,114.663459777832,114.903846740723,115.048072814941,115.576919555664,116.394233703613,116.826927185059,117.740379333496,118.798080444336,119.855773925781,120.913459777832,121.490386962891,122.451927185059,123.221160888672,124.182685852051,124.759613037109,125.048080444336,125.673080444336,125.673080444336,125.961540222168,125.673080444336,125,124.903846740723,124.519226074219,123.942306518555,122.836540222168,121.971153259277,121.298072814941,120.048080444336,119.807693481445,118.846153259277,118.076919555664,117.499992370605,117.163467407227,116.394233703613,116.153846740723,116.009613037109,115.769233703613,115.865386962891,116.490386962891,116.682693481445,117.163467407227,117.692306518555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH2:,0,0,0,0,0,0,0,0,0,0,0,0,0,103.402610778809,104.088195800781,104.805053710938,105.295967102051,105.737442016602,105.969902038574,106.075042724609,105.983901977539,105.757247924805,105.309028625488,104.796363830566,104.029037475586,103.278106689453,102.266845703125,101.353622436523,100.203071594238,98.0567779541016,97.1171798706055,96.061408996582,95.1171722412109,94.4387283325195,93.7789688110352,93.3735733032227,93.0756912231445,92.9925003051758,93.0952377319336,93.3486862182617,93.8472747802734,94.5440521240234,95.2610931396484,96.2622375488281,97.1925430297852,98.3936462402344,99.4392929077148,100.713111877441,101.762786865234,102.973167419434,103.914337158203,104.93123626709,105.794586181641,106.376480102539,106.890182495117,107.153228759766,107.262092590332,107.17822265625,106.871063232422,106.449928283691,105.760757446289,104.89266204834,104.052879333496,102.933937072754,101.933547973633,100.685234069824,99.6325302124023,98.3895645141602,97.3977279663086,96.2931289672852,95.4677047729492,94.6181259155273,93.9468460083008,93.5384216308594,93.1608047485352,93.2643051147461,93.5139236450195,93.9991683959961,94.5460662841797,95.3530578613281,96.2975997924805,97.1664352416992,98.2764358520508,99.2322692871094,101.31982421875,102.38516998291,103.200881958008,104.06649017334,105.645324707031,105.825790405273,105.862144470215,105.743812561035,105.430641174316,105.036552429199,104.420570373535,103.804252624512,102.965103149414,102.046516418457,101.244125366211,100.266410827637,99.46240234375,98.5390930175781,97.8253555297852,97.0601348876953,96.5151977539063,95.9900970458984,95.6703109741211,95.4366683959961,95.3708953857422,95.4434280395508,95.6772918701172,95.9863204956055,96.4795532226563,96.9783172607422,97.6609420776367,98.2814178466797,99.062873840332,99.8563003540039,100.505104064941,101.243881225586,101.808090209961,102.402473449707,102.814819335938,103.195602416992,103.409606933594,103.536117553711,103.531410217285,103.396018981934,103.126579284668,102.808723449707,102.329978942871,100.69507598877,100.019966125488,99.4625549316406,98.8232040405273,98.2402191162109,97.8143615722656,97.3929061889648,97.1277465820312,96.9238204956055,96.8546371459961,96.8954696655273,97.0317001342773,97.3123626708984,97.6364593505859,98.1204299926758,98.6899871826172,99.2138519287109,99.880012512207,100.448379516602,101.122634887695,101.659553527832,102.25114440918,102.683624267578,103.111068725586,103.421348571777,103.580047607422,103.642250061035,103.583908081055,103.381782531738,103.10676574707,102.657623291016,102.194107055664,101.547264099121,100.948135375977,100.179344177246,99.3826522827148,98.7186279296875,97.9475173950195,97.3462677001953,96.6985321044922,96.2376251220703,95.7986526489258,95.5405960083008,95.3725280761719,95.4903869628906,95.788818359375,96.1581878662109,96.7351913452148,97.3154296875,98.1117401123047,98.8409271240234,99.7693023681641,100.565948486328,101.520980834961,102.44344329834,103.163635253906,103.942710876465,104.501602172852,105.042167663574,105.37003326416,105.602516174316,105.654899597168,105.543952941895,105.244674682617,104.856689453125,104.236419677734,103.603401184082,102.725051879883,101.913223266602,100.870574951172,99.9679260253906,98.8753204345703,97.981803894043,96.9612731933594,96.0298309326172,95.3448486328125,94.6570205688477,94.2120361328125,93.8484725952148,93.6967163085938,93.7025451660156,93.8648452758789,94.2440948486328,94.8136367797852,95.4209594726563,96.2889099121094,97.1091690063477,98.1821746826172,99.1264419555664,100.287506103516,101.252388000488,102.373977661133,103.253211975098,104.211570739746,105.034561157227,105.597160339355,106.105026245117,106.377449035645,106.514083862305,106.466369628906,106.216979980469,105.854774475098,105.247543334961,104.471488952637,103.714393615723,102.699676513672,101.788543701172,100.648040771484,99.6840362548828,98.544059753418,97.6336441040039,96.6196823120117,95.8626480102539,95.0852127075195,94.4740219116211,94.1057434082031,93.8446960449219,93.7828521728516,94.143669128418,94.6138687133789,95.1384658813477,95.9078063964844,96.8039016723633,97.6250991821289,98.6704483032227,99.5672149658203,100.642486572266,101.513244628906,102.497589111328,103.245307922363,104.030143737793,104.573371887207,105.074615478516,105.397552490234,105.52392578125,105.501846313477,105.340850830078,104.984397888184,104.561241149902,103.919189453125,103.288688659668,102.441719055176,101.525321960449,100.732276916504,99.7745742797852,98.994255065918,98.1072998046875,97.4300003051758,96.7151870727539,96.2172164916992,95.7535629272461,95.4492874145508,95.3237457275391,95.329216003418,95.4620208740234,95.7681732177734,96.1365051269531,96.6986465454102,97.2520523071289,97.9958114624023,98.6627197265625,99.4934234619141,100.328079223633,101.00439453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.402610778809,104.088195800781,104.805053710938,105.295967102051,105.737442016602,105.969902038574,106.075042724609,105.983901977539,105.757247924805,105.309028625488,104.796363830566,104.029037475586,103.278106689453,102.266845703125,101.353622436523,100.203071594238,99.2237243652344,97.1171798706055,96.061408996582,95.1171722412109,94.4387283325195,93.7789688110352,93.3735733032227,93.0756912231445,92.9925003051758,93.0952377319336,93.3486862182617,93.8472747802734,94.5440521240234,96.2622375488281,97.1925430297852,98.3936462402344,100.713111877441,102.973167419434,103.914337158203,104.93123626709,105.794586181641,106.376480102539,106.890182495117,107.153228759766,107.17822265625,106.871063232422,106.449928283691,105.760757446289,104.89266204834,104.052879333496,101.933547973633,100.685234069824,99.6325302124023,98.3895645141602,97.3977279663086,96.2931289672852,95.4677047729492,94.6181259155273,93.9468460083008,93.5384216308594,93.2416915893555,93.1608047485352,93.2643051147461,93.5139236450195,93.9991683959961,94.5460662841797,96.2975997924805,97.1664352416992,98.2764358520508,99.2322692871094,100.383186340332,101.31982421875,102.38516998291,103.200881958008,104.06649017334,105.251922607422,105.645324707031,105.825790405273,105.862144470215,105.743812561035,105.430641174316,105.036552429199,104.420570373535,103.804252624512,102.965103149414,102.046516418457,101.244125366211,100.266410827637,99.46240234375,98.5390930175781,97.8253555297852,97.0601348876953,96.5151977539063,95.9900970458984,95.6703109741211,95.4366683959961,95.3708953857422,95.4434280395508,95.6772918701172,95.9863204956055,96.4795532226563,96.9783172607422,97.6609420776367,98.2814178466797,99.062873840332,99.8563003540039,100.505104064941,101.243881225586,101.808090209961,102.402473449707,102.814819335938,103.409606933594,103.536117553711,103.531410217285,103.396018981934,103.126579284668,102.808723449707,102.329978942871,101.863868713379,101.244255065918,100.69507598877,99.4625549316406,98.8232040405273,98.2402191162109,97.8143615722656,97.3929061889648,97.1277465820312,96.9238204956055,96.8546371459961,96.8954696655273,97.0317001342773,97.3123626708984,97.6364593505859,98.1204299926758,98.6899871826172,99.2138519287109,99.880012512207,100.448379516602,101.122634887695,101.659553527832,102.25114440918,102.683624267578,103.111068725586,103.421348571777,103.580047607422,103.583908081055,103.381782531738,103.10676574707,102.194107055664,101.547264099121,100.948135375977,100.179344177246,99.3826522827148,98.7186279296875,97.9475173950195,97.3462677001953,96.6985321044922,96.2376251220703,95.7986526489258,95.5405960083008,95.3725280761719,95.3674392700195,95.4903869628906,95.788818359375,96.1581878662109,96.7351913452148,97.3154296875,98.1117401123047,98.8409271240234,99.7693023681641,100.565948486328,101.520980834961,103.163635253906,103.942710876465,104.501602172852,105.042167663574,105.37003326416,105.602516174316,105.654899597168,105.543952941895,105.244674682617,104.856689453125,104.236419677734,102.725051879883,101.913223266602,100.870574951172,99.9679260253906,98.8753204345703,97.981803894043,96.9612731933594,96.0298309326172,95.3448486328125,94.6570205688477,94.2120361328125,93.8484725952148,93.6967163085938,93.7025451660156,93.8648452758789,94.2440948486328,94.8136367797852,95.4209594726563,96.2889099121094,97.1091690063477,98.1821746826172,99.1264419555664,100.287506103516,101.252388000488,102.373977661133,103.253211975098,104.211570739746,105.034561157227,105.597160339355,106.105026245117,106.377449035645,106.514083862305,106.466369628906,106.216979980469,105.854774475098,105.247543334961,104.471488952637,103.714393615723,102.699676513672,101.788543701172,99.6840362548828,98.544059753418,97.6336441040039,96.6196823120117,94.4740219116211,94.1057434082031,93.8446960449219,93.7828521728516,93.8963317871094,94.143669128418,94.6138687133789,95.1384658813477,95.9078063964844,96.8039016723633,97.6250991821289,98.6704483032227,99.5672149658203,100.642486572266,101.513244628906,102.497589111328,103.245307922363,104.030143737793,104.573371887207,105.074615478516,105.397552490234,105.52392578125,105.501846313477,105.340850830078,104.984397888184,104.561241149902,103.919189453125,103.288688659668,102.441719055176,101.525321960449,100.732276916504,99.7745742797852,98.994255065918,98.1072998046875,97.4300003051758,96.7151870727539,96.2172164916992,95.7535629272461,95.4492874145508,95.3237457275391,95.329216003418,95.4620208740234,95.7681732177734,96.1365051269531,96.6986465454102,97.2520523071289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH3:,0,0,0,0,0,0,0,0,0,0,0,0,0,123.402610778809,124.088195800781,124.805053710938,125.295967102051,125.737442016602,125.969902038574,126.075042724609,125.983901977539,125.757247924805,125.309028625488,124.796363830566,124.029037475586,123.278106689453,122.266845703125,121.353622436523,120.203071594238,118.056777954102,117.117179870605,116.061408996582,115.117172241211,114.43872833252,113.778968811035,113.373573303223,113.075691223145,112.992500305176,113.095237731934,113.348686218262,113.847274780273,114.544052124023,115.261093139648,116.262237548828,117.192543029785,118.393646240234,119.439292907715,120.713111877441,121.762786865234,122.973167419434,123.914337158203,124.93123626709,125.794586181641,126.376480102539,126.890182495117,127.153228759766,127.262092590332,127.17822265625,126.871063232422,126.449928283691,125.760757446289,124.89266204834,124.052879333496,122.933937072754,121.933547973633,120.685234069824,119.632530212402,118.38956451416,117.397727966309,116.293128967285,115.467704772949,114.618125915527,113.946846008301,113.538421630859,113.160804748535,113.264305114746,113.51392364502,113.999168395996,114.54606628418,115.353057861328,116.29759979248,117.166435241699,118.276435852051,119.232269287109,121.31982421875,122.38516998291,123.200881958008,124.06649017334,125.645324707031,125.825790405273,125.862144470215,125.743812561035,125.430641174316,125.036552429199,124.420570373535,123.804252624512,122.965103149414,122.046516418457,121.244125366211,120.266410827637,119.46240234375,118.539093017578,117.825355529785,117.060134887695,116.515197753906,115.990097045898,115.670310974121,115.436668395996,115.370895385742,115.443428039551,115.677291870117,115.986320495605,116.479553222656,116.978317260742,117.660942077637,118.28141784668,119.062873840332,119.856300354004,120.505104064941,121.243881225586,121.808090209961,122.402473449707,122.814819335938,123.195602416992,123.409606933594,123.536117553711,123.531410217285,123.396018981934,123.126579284668,122.808723449707,122.329978942871,120.69507598877,120.019966125488,119.462554931641,118.823204040527,118.240219116211,117.814361572266,117.392906188965,117.127746582031,116.923820495605,116.854637145996,116.895469665527,117.031700134277,117.312362670898,117.636459350586,118.120429992676,118.689987182617,119.213851928711,119.880012512207,120.448379516602,121.122634887695,121.659553527832,122.25114440918,122.683624267578,123.111068725586,123.421348571777,123.580047607422,123.642250061035,123.583908081055,123.381782531738,123.10676574707,122.657623291016,122.194107055664,121.547264099121,120.948135375977,120.179344177246,119.382652282715,118.718627929688,117.94751739502,117.346267700195,116.698532104492,116.23762512207,115.798652648926,115.540596008301,115.372528076172,115.490386962891,115.788818359375,116.158187866211,116.735191345215,117.3154296875,118.111740112305,118.840927124023,119.769302368164,120.565948486328,121.520980834961,122.44344329834,123.163635253906,123.942710876465,124.501602172852,125.042167663574,125.37003326416,125.602516174316,125.654899597168,125.543952941895,125.244674682617,124.856689453125,124.236419677734,123.603401184082,122.725051879883,121.913223266602,120.870574951172,119.967926025391,118.87532043457,117.981803894043,116.961273193359,116.029830932617,115.344848632812,114.657020568848,114.212036132813,113.848472595215,113.696716308594,113.702545166016,113.864845275879,114.244094848633,114.813636779785,115.420959472656,116.288909912109,117.109169006348,118.182174682617,119.126441955566,120.287506103516,121.252388000488,122.373977661133,123.253211975098,124.211570739746,125.034561157227,125.597160339355,126.105026245117,126.377449035645,126.514083862305,126.466369628906,126.216979980469,125.854774475098,125.247543334961,124.471488952637,123.714393615723,122.699676513672,121.788543701172,120.648040771484,119.684036254883,118.544059753418,117.633644104004,116.619682312012,115.862648010254,115.08521270752,114.474021911621,114.105743408203,113.844696044922,113.782852172852,114.143669128418,114.613868713379,115.138465881348,115.907806396484,116.803901672363,117.625099182129,118.670448303223,119.56721496582,120.642486572266,121.513244628906,122.497589111328,123.245307922363,124.030143737793,124.573371887207,125.074615478516,125.397552490234,125.52392578125,125.501846313477,125.340850830078,124.984397888184,124.561241149902,123.919189453125,123.288688659668,122.441719055176,121.525321960449,120.732276916504,119.774574279785,118.994255065918,118.107299804687,117.430000305176,116.715187072754,116.217216491699,115.753562927246,115.449287414551,115.323745727539,115.329216003418,115.462020874023,115.768173217773,116.136505126953,116.69864654541,117.252052307129,117.995811462402,118.662719726563,119.493423461914,120.328079223633,121.00439453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.402610778809,124.088195800781,124.805053710938,125.295967102051,125.737442016602,125.969902038574,126.075042724609,125.983901977539,125.757247924805,125.309028625488,124.796363830566,124.029037475586,123.278106689453,122.266845703125,121.353622436523,120.203071594238,119.223724365234,117.117179870605,116.061408996582,115.117172241211,114.43872833252,113.778968811035,113.373573303223,113.075691223145,112.992500305176,113.095237731934,113.348686218262,113.847274780273,114.544052124023,116.262237548828,117.192543029785,118.393646240234,120.713111877441,122.973167419434,123.914337158203,124.93123626709,125.794586181641,126.376480102539,126.890182495117,127.153228759766,127.17822265625,126.871063232422,126.449928283691,125.760757446289,124.89266204834,124.052879333496,121.933547973633,120.685234069824,119.632530212402,118.38956451416,117.397727966309,116.293128967285,115.467704772949,114.618125915527,113.946846008301,113.538421630859,113.241691589355,113.160804748535,113.264305114746,113.51392364502,113.999168395996,114.54606628418,116.29759979248,117.166435241699,118.276435852051,119.232269287109,120.383186340332,121.31982421875,122.38516998291,123.200881958008,124.06649017334,125.251922607422,125.645324707031,125.825790405273,125.862144470215,125.743812561035,125.430641174316,125.036552429199,124.420570373535,123.804252624512,122.965103149414,122.046516418457,121.244125366211,120.266410827637,119.46240234375,118.539093017578,117.825355529785,117.060134887695,116.515197753906,115.990097045898,115.670310974121,115.436668395996,115.370895385742,115.443428039551,115.677291870117,115.986320495605,116.479553222656,116.978317260742,117.660942077637,118.28141784668,119.062873840332,119.856300354004,120.505104064941,121.243881225586,121.808090209961,122.402473449707,122.814819335938,123.409606933594,123.536117553711,123.531410217285,123.396018981934,123.126579284668,122.808723449707,122.329978942871,121.863868713379,121.244255065918,120.69507598877,119.462554931641,118.823204040527,118.240219116211,117.814361572266,117.392906188965,117.127746582031,116.923820495605,116.854637145996,116.895469665527,117.031700134277,117.312362670898,117.636459350586,118.120429992676,118.689987182617,119.213851928711,119.880012512207,120.448379516602,121.122634887695,121.659553527832,122.25114440918,122.683624267578,123.111068725586,123.421348571777,123.580047607422,123.583908081055,123.381782531738,123.10676574707,122.194107055664,121.547264099121,120.948135375977,120.179344177246,119.382652282715,118.718627929688,117.94751739502,117.346267700195,116.698532104492,116.23762512207,115.798652648926,115.540596008301,115.372528076172,115.36743927002,115.490386962891,115.788818359375,116.158187866211,116.735191345215,117.3154296875,118.111740112305,118.840927124023,119.769302368164,120.565948486328,121.520980834961,123.163635253906,123.942710876465,124.501602172852,125.042167663574,125.37003326416,125.602516174316,125.654899597168,125.543952941895,125.244674682617,124.856689453125,124.236419677734,122.725051879883,121.913223266602,120.870574951172,119.967926025391,118.87532043457,117.981803894043,116.961273193359,116.029830932617,115.344848632812,114.657020568848,114.212036132813,113.848472595215,113.696716308594,113.702545166016,113.864845275879,114.244094848633,114.813636779785,115.420959472656,116.288909912109,117.109169006348,118.182174682617,119.126441955566,120.287506103516,121.252388000488,122.373977661133,123.253211975098,124.211570739746,125.034561157227,125.597160339355,126.105026245117,126.377449035645,126.514083862305,126.466369628906,126.216979980469,125.854774475098,125.247543334961,124.471488952637,123.714393615723,122.699676513672,121.788543701172,119.684036254883,118.544059753418,117.633644104004,116.619682312012,114.474021911621,114.105743408203,113.844696044922,113.782852172852,113.896331787109,114.143669128418,114.613868713379,115.138465881348,115.907806396484,116.803901672363,117.625099182129,118.670448303223,119.56721496582,120.642486572266,121.513244628906,122.497589111328,123.245307922363,124.030143737793,124.573371887207,125.074615478516,125.397552490234,125.52392578125,125.501846313477,125.340850830078,124.984397888184,124.561241149902,123.919189453125,123.288688659668,122.441719055176,121.525321960449,120.732276916504,119.774574279785,118.994255065918,118.107299804687,117.430000305176,116.715187072754,116.217216491699,115.753562927246,115.449287414551,115.323745727539,115.329216003418,115.462020874023,115.768173217773,116.136505126953,116.69864654541,117.252052307129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
